,index,season,seasonNumber,series,episode,challengeType,outcomeType,guestJudge,competedOnTC,otherShows
285,285,Houston,19,US,5,Elimination,Individual,Brooke Williamson,Yes,Tournament of Champions; Beachside Brawl
286,286,Houston,19,US,5,Elimination,Individual,Greg Gatlin,,
287,287,Houston,19,US,6,Quickfire,Team,Kelsey Barnard Clark,Yes,Tournament of Champions
288,288,Houston,19,US,6,Quickfire,Team,Nini Nguyen,Yes,
289,289,Houston,19,US,6,Elimination,Individual,Christine Ha,,
290,290,Houston,19,US,6,Elimination,Individual,Tiffany Derry,Yes,Tournament of Champions
291,291,Houston,19,US,7,Quickfire,Individual,Kwame Onwuachi,Yes,
292,292,Houston,19,US,7,Quickfire,Individual,Ope Amosu,,
293,293,Houston,19,US,7,Elimination,Team,Joe Flamm,Yes,
294,294,Houston,19,US,7,Elimination,Team,Kwame Onwuachi,Yes,
295,295,Houston,19,US,8,Elimination,Team,Hunter Lewis,,Yes?
296,296,Houston,19,US,8,Elimination,Team,Tiffany Derry,Yes,Tournament of Champions
297,297,Houston,19,US,9,Quickfire,Individual,Nyesha Arrington,Yes,Tournament of Champions
298,298,Houston,19,US,9,Elimination,Individual,Dawn Burrell,Yes,
299,299,Houston,19,US,9,Elimination,Individual,Kwame Onwuachi,Yes,
300,300,Houston,19,US,10,Quickfire,Individual,Claudette Zepeda,Yes,
301,301,Houston,19,US,10,Quickfire,Individual,Claudette Zepeda,,
302,302,Houston,19,US,10,Elimination,Individual,Marcus Samuelsson,,"Top Chef Masters Season 2, Chopped Judge, Tournament of Champions Judge"
303,303,Houston,19,US,10,Elimination,Individual,Melissa King,Yes,
304,304,Houston,19,US,11,Quickfire,Individual,Shota Nakajima,Yes,
305,305,Houston,19,US,11,Elimination,Individual,Adrienne Cheatham,Yes,
306,306,Houston,19,US,11,Elimination,Individual,Sheldon Simeon,Yes,
307,307,Houston,19,US,12,Elimination,Individual,Daniel Boulud,,
308,308,Houston,19,US,12,Elimination,Individual,Stephanie Izard,Yes,Tournament of Champions
309,309,Houston,19,US,13,Quickfire,Individual,Carlotta Flores,,
310,310,Houston,19,US,13,Elimination,Individual,Carlotta Flores,,
311,311,Houston,19,US,13,Elimination,Individual,Kristen Kish,Yes,Iron Chef: Quest for an Iron Legend Host
312,312,Houston,19,US,14,Elimination,Individual,Eric Ripert,,Yes?
313,313,Houston,19,US,14,Elimination,Individual,Stephanie Izard,Yes,Tournament of Champions
314,314,Kentucky,16,US,1,Elimination,Team,David Danielson,,
315,315,Kentucky,16,US,2,Quickfire,Individual,Gail Simmons,,Top Chef: Just Desserts
316,316,Kentucky,16,US,2,Elimination,Team,Newman Miller,,
317,317,Kentucky,16,US,3,Quickfire,Individual,Brooke Williamson,Yes,Tournament of Champions; Beachside Brawl
318,318,Kentucky,16,US,3,Quickfire,Individual,Richard Blais,Yes,
319,319,Kentucky,16,US,3,Elimination,Individual,Eric Ripert,,Yes?
320,320,Kentucky,16,US,4,Quickfire,Individual,Karen Akunowicz,Yes,Tournament of Champions
